mass_A
t,x,y
1.313056667E1,2.050471674E1,7.548314215E0
1.316395556E1,2.045371341E1,7.546281814E0
1.319722222E1,2.041410909E1,7.533593031E0
1.323048889E1,2.037330908E1,7.522382613E0
1.326387778E1,2.031724079E1,7.519956057E0
1.329726667E1,2.026711834E1,7.517592594E0
1.333052222E1,2.021530002E1,7.513430505E0
1.336377778E1,2.015664708E1,7.499769978E0
1.339718889E1,2.011116182E1,7.496673336E0
1.343060000E1,2.005675755E1,7.477690545E0
1.346383333E1,2.000798887E1,7.475484193E0
1.349717778E1,1.994370278E1,7.472968856E0
1.353052222E1,1.989228768E1,7.467971905E0
1.356386667E1,1.983246151E1,7.458114623E0
1.359721111E1,1.978079433E1,7.448091906E0
1.363055556E1,1.971546544E1,7.436342763E0
1.366380000E1,1.965629859E1,7.432649420E0
1.369704444E1,1.959868706E1,7.430360229E0
1.373051111E1,1.954501973E1,7.427401248E0
1.376377778E1,1.948381799E1,7.426507303E0
1.379704444E1,1.944226283E1,7.408819051E0
1.383042222E1,1.938891185E1,7.390628323E0
1.386380000E1,1.933255060E1,7.387178298E0
1.389717778E1,1.927576468E1,7.384853524E0
1.393043333E1,1.922159312E1,7.381965596E0
1.396393333E1,1.917516324E1,7.376546309E0
1.399707778E1,1.913072150E1,7.359800758E0
1.403040000E1,1.907886903E1,7.344941238E0
1.406372222E1,1.902489890E1,7.345410412E0
1.409704444E1,1.897728872E1,7.342815293E0
1.413036667E1,1.892546846E1,7.343600031E0
1.416368889E1,1.888304703E1,7.340025832E0
1.419701111E1,1.884753560E1,7.332764735E0
1.423033333E1,1.881983880E1,7.337735087E0
1.426365556E1,1.878133975E1,7.339275571E0
1.429697778E1,1.875027800E1,7.330385185E0
1.433030000E1,1.871717779E1,7.337145106E0
1.436362222E1,1.869368729E1,7.320453493E0
1.439694444E1,1.867161935E1,7.314146111E0
1.443026667E1,1.862303246E1,7.305590561E0
1.446358889E1,1.857112977E1,7.303860045E0
1.449691111E1,1.851531177E1,7.299856446E0
1.453023333E1,1.846671667E1,7.300067192E0
1.456355556E1,1.842094658E1,7.293032089E0
1.459687778E1,1.835970374E1,7.287999274E0
1.463020000E1,1.830564675E1,7.278757565E0
1.466385556E1,1.824828351E1,7.263241139E0
1.469695556E1,1.821343198E1,7.260887085E0
1.473027778E1,1.817829034E1,7.258939218E0
1.476360000E1,1.812424285E1,7.253645305E0
1.479692222E1,1.808387118E1,7.254518834E0
1.483024444E1,1.804311054E1,7.243420886E0
1.486356667E1,1.800429128E1,7.248173791E0
1.489688889E1,1.795691834E1,7.239376864E0
1.493021111E1,1.791179683E1,7.248231944E0
1.496353333E1,1.787858497E1,7.233317879E0
1.499685556E1,1.782534575E1,7.219336208E0
1.503017778E1,1.777861149E1,7.218362533E0
1.506350000E1,1.773140933E1,7.214010448E0
1.509682222E1,1.767641337E1,7.208009401E0
1.513014444E1,1.761825905E1,7.206945462E0
1.516346667E1,1.756726938E1,7.198090770E0
1.519678889E1,1.752543112E1,7.191424923E0
1.523011111E1,1.747170894E1,7.179736560E0
1.526343333E1,1.741942928E1,7.173977139E0
1.529675556E1,1.737294981E1,7.174480758E0
1.533007778E1,1.734247215E1,7.169990105E0
1.536340000E1,1.730592695E1,7.164340635E0
1.539672222E1,1.726599185E1,7.166723428E0
1.543004444E1,1.722472418E1,7.168114847E0
1.546377778E1,1.718322810E1,7.160101096E0
1.549676667E1,1.715585642E1,7.149068181E0
1.553008889E1,1.711285041E1,7.139668063E0
1.556341111E1,1.705592498E1,7.131560724E0
1.559673333E1,1.700783228E1,7.129135143E0
1.563005556E1,1.695483647E1,7.129163073E0
1.566337778E1,1.691275553E1,7.122023077E0
1.569670000E1,1.687077829E1,7.122419544E0
1.573002222E1,1.682802381E1,7.109045805E0
1.576334444E1,1.678507185E1,7.090106632E0
1.579666667E1,1.674120608E1,7.085929981E0
1.582998889E1,1.669023085E1,7.083767260E0
1.586331111E1,1.664315199E1,7.080617637E0
1.589663333E1,1.661896052E1,7.081056471E0
1.592995556E1,1.657056634E1,7.069978617E0
1.596327778E1,1.653120480E1,7.077639539E0
1.599660000E1,1.649324150E1,7.060915791E0
1.602992222E1,1.644006070E1,7.048733950E0
1.606324444E1,1.638302815E1,7.043485539E0
1.609656667E1,1.633726190E1,7.043162463E0
1.613005556E1,1.627703298E1,7.039323398E0
1.616330000E1,1.622856420E1,7.035501337E0
1.619654444E1,1.617152558E1,7.036991953E0
1.622995556E1,1.614430725E1,7.013896542E0
1.626336667E1,1.611673746E1,7.010442949E0
1.629661111E1,1.607164436E1,7.004524688E0
1.632985556E1,1.602869084E1,6.998810565E0
1.636328889E1,1.599729023E1,6.997134459E0
1.639660000E1,1.595294527E1,6.995309110E0
